id	text	label	sublabel
1	Great product with amazing features	positive	satisfaction
2	Terrible quality and poor design overall	negative	disappointment
3	Average performance nothing remarkable here	neutral	indifference
4	Outstanding customer service and support team	positive	satisfaction
5	Would not recommend this to anyone ever	negative	frustration
6	It works fine for basic daily needs	neutral	acceptance
7	Absolutely wonderful experience from start to end	positive	delight
8	Broken on arrival very disappointing purchase	negative	anger
9	Standard quality meets basic expectations only	neutral	indifference
10	Love it will definitely buy again soon	positive	loyalty
11	Complete waste of money avoid at costs	negative	frustration
12	Does what it claims nothing more less	neutral	acceptance
13	Incredible value for the price paid here	positive	satisfaction
14	Worst product I have ever purchased honestly	negative	anger
15	Perfectly adequate for everyday regular use	neutral	acceptance
